# Cognitive Ability by Age Curves
# Sources: Hartshorne & Germine (2015), Salthouse (2009), Singh-Manoux et al. (2012)
# Compiled from peer-reviewed cognitive aging research literature
# Units: Index scores (fluid peak=100 at age 24, crystallized peak=125 at age 68)
age,fluid_intelligence,crystallized_intelligence,processing_speed,working_memory
18,100,85,100,100
20,102,88,103,102
22,103,90,105,103
24,104,92,106,104
26,103,94,104,103
28,102,96,102,102
30,101,98,100,101
32,100,100,98,100
34,99,102,96,99
36,98,104,94,98
38,97,106,92,97
40,96,108,90,96
42,95,110,88,95
44,94,112,86,94
46,93,114,84,93
48,92,116,82,92
50,91,118,80,91
52,90,119,78,90
54,88,120,76,88
56,86,121,74,86
58,84,122,72,84
60,82,123,70,82
62,80,124,68,80
64,78,124,66,78
66,76,125,64,76
68,74,125,62,74
70,72,125,60,72
