age,year,birth_year,fluid_intelligence,crystallized_intelligence,processing_speed,working_memory,computer_adoption,automation_level,ai_adoption,cohort,tech_comfort,education_baseline,fluid_tech_adjustment,crystallized_tech_adjustment,speed_tech_adjustment,memory_tech_adjustment,fluid_cohort_adjustment,crystallized_cohort_adjustment,fluid_enhanced,crystallized_enhanced,speed_enhanced,memory_enhanced,cognitive_composite_modern,workforce_participation,tertiary_education,human_capital_weight,human_capital_share
18,1970,1952,100,85,100,100,0.05,0.1,0.01,Baby Boomers,0.5,0.25,1,1.0159999999999998,0.98,0.9999999999999999,1.1,1.025,110.00000000000001,88.51899999999998,98,99.99999999999999,99.18164999999999,0.6,0.25,0.66,0.04598341810074549
18,1971,1953,100,85,100,100,0.05,0.10500000000000001,0.01,Baby Boomers,0.5,0.25,0.9995,1.0159999999999998,0.9795,0.9997499999999999,1.1,1.025,109.94500000000001,88.51899999999998,97.95,99.975,99.15114999999999,0.6,0.2518518518518518,0.6604444444444445,0.04598246518824136
18,1972,1954,100,85,100,100,0.05,0.11,0.01,Baby Boomers,0.5,0.25,0.999,1.0159999999999998,0.979,0.9994999999999999,1.1,1.025,109.89000000000001,88.51899999999998,97.89999999999999,99.94999999999999,99.12064999999998,0.6,0.2537037037037037,0.6608888888888889,0.043169435923241434
18,1973,1955,100,85,100,100,0.05,0.115,0.01,Baby Boomers,0.5,0.25,0.9985,1.0159999999999998,0.9785,0.9992499999999999,1.1,1.025,109.83500000000002,88.51899999999998,97.85000000000001,99.92499999999998,99.09015,0.6,0.25555555555555554,0.6613333333333333,0.04316859832605637
18,1974,1956,100,85,100,100,0.05,0.12000000000000001,0.01,Baby Boomers,0.5,0.25,0.998,1.0159999999999998,0.978,0.9989999999999999,1.1,1.025,109.78,88.51899999999998,97.8,99.89999999999999,99.05964999999999,0.6,0.2574074074074074,0.6617777777777777,0.04068000355164571
18,1975,1957,100,85,100,100,0.05,0.125,0.01,Baby Boomers,0.5,0.25,0.9975,1.0159999999999998,0.9775,0.9987499999999999,1.1,1.025,109.72500000000001,88.51899999999998,97.75,99.87499999999999,99.02914999999999,0.6,0.25925925925925924,0.6622222222222222,0.040679261766954244
18,1976,1958,100,85,100,100,0.05,0.13,0.01,Baby Boomers,0.5,0.25,0.997,1.0159999999999998,0.977,0.9984999999999999,1.1,1.025,109.67000000000002,88.51899999999998,97.7,99.85,98.99865,0.6,0.2611111111111111,0.6626666666666666,0.03906541688773605
18,1977,1959,100,85,100,100,0.05,0.135,0.01,Baby Boomers,0.5,0.25,0.9965,1.0159999999999998,0.9765,0.9982499999999999,1.1,1.025,109.61500000000001,88.51899999999998,97.65,99.82499999999999,98.96814999999998,0.6,0.26296296296296295,0.6631111111111111,0.03906475008509412
18,1978,1960,100,85,100,100,0.05,0.14,0.01,Baby Boomers,0.5,0.25,0.996,1.0159999999999998,0.976,0.9979999999999999,1.1,1.025,109.56,88.51899999999998,97.6,99.79999999999998,98.93764999999999,0.6,0.26481481481481484,0.6635555555555556,0.037574163672855626
18,1979,1961,100,85,100,100,0.05,0.14500000000000002,0.01,Baby Boomers,0.5,0.25,0.9955,1.0159999999999998,0.9755,0.9977499999999999,1.1,1.025,109.50500000000002,88.51899999999998,97.55,99.77499999999999,98.90714999999999,0.6,0.26666666666666666,0.664,0.03757356269805342
