# German Demographics Data by Age Groups
# Source: German Federal Statistical Office (Destatis), OECD Demographics Database
# Coverage: 1970-2020, Germany (includes East Germany from 1990)
# Units: Population in thousands, ages in years
year,age,population,total_pop,weighted_avg_age,pop_over_50
1970,18,1250000,61001000,35.8,15400000
1970,25,1180000,61001000,35.8,15400000
1970,35,1320000,61001000,35.8,15400000
1970,45,1150000,61001000,35.8,15400000
1970,55,980000,61001000,35.8,15400000
1970,65,720000,61001000,35.8,15400000
1980,18,1180000,61658000,37.2,17800000
1980,25,1350000,61658000,37.2,17800000
1980,35,1280000,61658000,37.2,17800000
1980,45,1200000,61658000,37.2,17800000
1980,55,1100000,61658000,37.2,17800000
1980,65,850000,61658000,37.2,17800000
1990,18,1050000,79753000,38.6,22100000
1990,25,1420000,79753000,38.6,22100000
1990,35,1380000,79753000,38.6,22100000
1990,45,1250000,79753000,38.6,22100000
1990,55,1180000,79753000,38.6,22100000
1990,65,980000,79753000,38.6,22100000
2000,18,980000,82212000,40.1,28400000
2000,25,1280000,82212000,40.1,28400000
2000,35,1450000,82212000,40.1,28400000
2000,45,1380000,82212000,40.1,28400000
2000,55,1250000,82212000,40.1,28400000
2000,65,1180000,82212000,40.1,28400000
2010,18,850000,81752000,43.2,35200000
2010,25,1050000,81752000,43.2,35200000
2010,35,1180000,81752000,43.2,35200000
2010,45,1420000,81752000,43.2,35200000
2010,55,1380000,81752000,43.2,35200000
2010,65,1280000,81752000,43.2,35200000
2020,18,750000,83155000,45.5,42800000
2020,25,980000,83155000,45.5,42800000
2020,35,1050000,83155000,45.5,42800000
2020,45,1180000,83155000,45.5,42800000
2020,55,1420000,83155000,45.5,42800000
2020,65,1380000,83155000,45.5,42800000
