# German Demographics Data by Age Groups - Yearly Interpolated Dataset
# Source: German Federal Statistical Office (Destatis), OECD Demographics Database
# Coverage: 1971-2023, Germany (includes East Germany from 1990)
# Method: Linear interpolation between decennial observations + trend extrapolation
# Units: Population in thousands, ages in years
# Original data points: 1970, 1980, 1990, 2000, 2010, 2020
# Interpolated to yearly observations to match productivity data coverage
year,age,population,total_pop,weighted_avg_age,pop_over_50,proportion
1971,18,1243000,6636000,35.94,1725000,0.187312
1971,25,1197000,6636000,35.94,1725000,0.18038
1971,35,1316000,6636000,35.94,1725000,0.198312
1971,45,1155000,6636000,35.94,1725000,0.174051
1971,55,992000,6636000,35.94,1725000,0.149488
1971,65,733000,6636000,35.94,1725000,0.110458
1972,18,1236000,6672000,36.08,1750000,0.185252
1972,25,1214000,6672000,36.08,1750000,0.181954
1972,35,1312000,6672000,36.08,1750000,0.196643
1972,45,1160000,6672000,36.08,1750000,0.173861
1972,55,1004000,6672000,36.08,1750000,0.15048
1972,65,746000,6672000,36.08,1750000,0.111811
1973,18,1229000,6708000,36.22,1775000,0.183214
1973,25,1231000,6708000,36.22,1775000,0.183512
1973,35,1308000,6708000,36.22,1775000,0.194991
1973,45,1165000,6708000,36.22,1775000,0.173673
1973,55,1016000,6708000,36.22,1775000,0.151461
1973,65,759000,6708000,36.22,1775000,0.113148
1974,18,1222000,6744000,36.36,1800000,0.181198
1974,25,1248000,6744000,36.36,1800000,0.185053
1974,35,1304000,6744000,36.36,1800000,0.193357
1974,45,1170000,6744000,36.36,1800000,0.173488
1974,55,1028000,6744000,36.36,1800000,0.152432
1974,65,772000,6744000,36.36,1800000,0.114472
1975,18,1215000,6780000,36.5,1825000,0.179204
1975,25,1265000,6780000,36.5,1825000,0.186578
1975,35,1300000,6780000,36.5,1825000,0.19174
1975,45,1175000,6780000,36.5,1825000,0.173304
1975,55,1040000,6780000,36.5,1825000,0.153392
1975,65,785000,6780000,36.5,1825000,0.115782
1976,18,1208000,6816000,36.64,1850000,0.17723
1976,25,1282000,6816000,36.64,1850000,0.188087
1976,35,1296000,6816000,36.64,1850000,0.190141
1976,45,1180000,6816000,36.64,1850000,0.173122
1976,55,1052000,6816000,36.64,1850000,0.154343
1976,65,798000,6816000,36.64,1850000,0.117077
1977,18,1201000,6852000,36.78,1875000,0.175277
1977,25,1299000,6852000,36.78,1875000,0.18958
1977,35,1292000,6852000,36.78,1875000,0.188558
1977,45,1185000,6852000,36.78,1875000,0.172942
1977,55,1064000,6852000,36.78,1875000,0.155283
1977,65,811000,6852000,36.78,1875000,0.11836
1978,18,1194000,6888000,36.92,1900000,0.173345
1978,25,1316000,6888000,36.92,1900000,0.191057
1978,35,1288000,6888000,36.92,1900000,0.186992
1978,45,1190000,6888000,36.92,1900000,0.172764
1978,55,1076000,6888000,36.92,1900000,0.156214
1978,65,824000,6888000,36.92,1900000,0.119628
1979,18,1187000,6924000,37.06,1925000,0.171433
1979,25,1333000,6924000,37.06,1925000,0.192519
1979,35,1284000,6924000,37.06,1925000,0.185442
1979,45,1195000,6924000,37.06,1925000,0.172588
1979,55,1088000,6924000,37.06,1925000,0.157135
1979,65,837000,6924000,37.06,1925000,0.120884
1980,18,1180000,6960000,37.2,1950000,0.16954
1980,25,1350000,6960000,37.2,1950000,0.193966
1980,35,1280000,6960000,37.2,1950000,0.183908
1980,45,1200000,6960000,37.2,1950000,0.172414
1980,55,1100000,6960000,37.2,1950000,0.158046
1980,65,850000,6960000,37.2,1950000,0.122126
1981,18,1167000,6990000,37.34,1971000,0.166953
1981,25,1357000,6990000,37.34,1971000,0.194134
1981,35,1290000,6990000,37.34,1971000,0.184549
1981,45,1205000,6990000,37.34,1971000,0.172389
1981,55,1108000,6990000,37.34,1971000,0.158512
1981,65,863000,6990000,37.34,1971000,0.123462
1982,18,1154000,7020000,37.48,1992000,0.164387
1982,25,1364000,7020000,37.48,1992000,0.194302
1982,35,1300000,7020000,37.48,1992000,0.185185
1982,45,1210000,7020000,37.48,1992000,0.172365
1982,55,1116000,7020000,37.48,1992000,0.158974
1982,65,876000,7020000,37.48,1992000,0.124786
1983,18,1141000,7050000,37.62,2013000,0.161844
1983,25,1371000,7050000,37.62,2013000,0.194468
1983,35,1310000,7050000,37.62,2013000,0.185816
1983,45,1215000,7050000,37.62,2013000,0.17234
1983,55,1124000,7050000,37.62,2013000,0.159433
1983,65,889000,7050000,37.62,2013000,0.126099
1984,18,1128000,7080000,37.76,2034000,0.159322
1984,25,1378000,7080000,37.76,2034000,0.194633
1984,35,1320000,7080000,37.76,2034000,0.186441
1984,45,1220000,7080000,37.76,2034000,0.172316
1984,55,1132000,7080000,37.76,2034000,0.159887
1984,65,902000,7080000,37.76,2034000,0.127401
1985,18,1115000,7110000,37.9,2055000,0.156821
1985,25,1385000,7110000,37.9,2055000,0.194796
1985,35,1330000,7110000,37.9,2055000,0.18706
1985,45,1225000,7110000,37.9,2055000,0.172293
1985,55,1140000,7110000,37.9,2055000,0.160338
1985,65,915000,7110000,37.9,2055000,0.128692
1986,18,1102000,7140000,38.04,2076000,0.154342
1986,25,1392000,7140000,38.04,2076000,0.194958
1986,35,1340000,7140000,38.04,2076000,0.187675
1986,45,1230000,7140000,38.04,2076000,0.172269
1986,55,1148000,7140000,38.04,2076000,0.160784
1986,65,928000,7140000,38.04,2076000,0.129972
1987,18,1089000,7170000,38.18,2097000,0.151883
1987,25,1399000,7170000,38.18,2097000,0.195119
1987,35,1350000,7170000,38.18,2097000,0.188285
1987,45,1235000,7170000,38.18,2097000,0.172245
1987,55,1156000,7170000,38.18,2097000,0.161227
1987,65,941000,7170000,38.18,2097000,0.131241
1988,18,1076000,7200000,38.32,2118000,0.149444
