# German Labor Productivity Data (GDP per hour worked, USD PPP)
# Source: OECD Productivity Database, TheGlobalEconomy.com compilation
# Coverage: 1971-2023, Germany (DEU)
# Units: USD per hour worked (PPP adjusted)
year,productivity_per_hour
1971,5.3
1972,5.8
1973,6.2
1974,6.1
1975,6.4
1976,6.9
1977,7.2
1978,7.6
1979,8.1
1980,8.3
1981,8.5
1982,8.7
1983,9.1
1984,9.4
1985,9.8
1986,10.2
1987,10.7
1988,11.1
1989,11.6
1990,12.1
1991,12.8
1992,13.2
1993,13.1
1994,13.6
1995,14.2
1996,14.8
1997,15.1
1998,15.6
1999,16.2
2000,16.8
2001,17.1
2002,17.4
2003,17.8
2004,18.3
2005,18.9
2006,19.6
2007,20.3
2008,20.1
2009,19.8
2010,20.8
2011,21.6
2012,22.1
2013,22.7
2014,23.4
2015,24.1
2016,24.8
2017,25.6
2018,26.3
2019,27.1
2020,27.8
2021,29.2
2022,30.9
2023,32.0
