country,year,aging_intensity,epi_base_2000,years_since_2000,epi_time_trend,epi_random,epi_normalized,country_productivity_base,productivity_time_trend,epi_effect,productivity_shock,log_productivity
DEU,1990,1.2,0.99,-10,0.005999999999999999,0.00092927407287228135,0.9969292740728722,4.6,-0.18,-0.002456580741702208,-0.024541852172578572,4.393001567085719
DEU,1991,1.2,0.99,-9,0.005399999999999999,-0.002414452787479759,0.9929855472125202,4.6,-0.16199999999999998,-0.005611562229983847,0.011122780583181653,4.443511218353198
DEU,1992,1.2,0.99,-8,0.0048,-0.001991771104004608,0.9928082288959954,4.6,-0.144,-0.005753416883203678,0.0030622085218400116,4.453308791638635
DEU,1993,1.2,0.99,-7,0.0042,-0.0044931503642245685,0.9897068496357754,4.6,-0.126,-0.008234520291379699,-0.005288906613559721,4.46047657309506
DEU,1994,1.2,0.99,-6,0.0036,0.0015055247632487314,0.9951055247632488,4.6,-0.10799999999999998,-0.0039155801894009915,9.547805989399887e-4,4.48903920040954
DEU,1995,1.2,0.99,-5,0.0029999999999999996,-0.0030730048126186684,0.9899269951873814,4.6,-0.09,-0.008058403850094908,-0.008151131297794097,4.493790464852111
DEU,1996,1.2,0.99,-4,0.0024,-0.003445087224862699,0.9889549127751373,4.6,-0.072,-0.0088360697798902,0.002682093244347281,4.521846023464457
DEU,1997,1.2,0.99,-3,0.0018,-0.0051699315935440976,0.986630068406456,4.6,-0.05399999999999999,-0.01069594527483524,0.01808458593603337,4.553388640661197
DEU,1998,1.2,0.99,-2,0.0012,0.0018204402329609756,0.993020440232961,4.6,-0.036,-0.00558364781363121,-3.16597956503304e-5,4.558384692390719
DEU,1999,1.2,0.99,-1,6e-4,3.591593508628075e-4,0.9909591593508629,4.6,-0.018,-0.007232672519309702,0.01999791053661703,4.594765238017307
DEU,2000,1.2,0.99,0,-0,-0.0026032698486279384,0.9873967301513721,4.6,0,-0.010082615878902336,-0.026166487049534757,4.563750897071563
DEU,2001,1.2,0.99,1,-6e-4,0.001393556001530034,0.99079355600153,4.6,0.018,-0.00736515519877603,0.006577130546941021,4.617211975348165
DEU,2002,1.2,0.99,2,-0.0012,2.832790997870394e-4,0.9890832790997871,4.6,0.036,-0.008733376720170317,-0.01909162711274345,4.608174996167086
DEU,2003,1.2,0.99,3,-0.0018,-0.002690894023512681,0.9855091059764873,4.6,0.05399999999999999,-0.011592715218810135,-0.015540640509619024,4.626866644271571
DEU,2004,1.2,0.99,4,-0.0024,7.999307024078872e-4,0.988399930702408,4.6,0.072,-0.009280055438073642,-0.002665015971685208,4.660054928590242
DEU,2005,1.2,0.99,5,-0.0029999999999999996,0.0040815270490904085,0.9910815270490904,4.6,0.09,-0.007134778360727712,-0.019674446062129296,4.663190775577142
DEU,2006,1.2,0.99,6,-0.0036,-5.160285821230711e-4,0.9858839714178769,4.6,0.10799999999999998,-0.011292822865698505,0.01528895958116719,4.711996136715468
