year,epi_population,epi_workforce,epi_hours,total_population,total_workforce,avg_participation,epi_population_norm,epi_workforce_norm,epi_hours_norm
1971,17.88826100060277,16.10214464876263,14.126491925633117,6636000,4430627.6,0.6676654008438818,1.3387083829062851,1.3816562878289693,1.372222105817488
1972,17.691546762589926,15.903228124382487,13.955248713360486,6672000,4453360,0.6674700239808153,1.3239868289522174,1.3645881101012263,1.3555878471077716
1973,17.49694394752534,15.706108620777629,13.785546608427396,6708000,4476241.2,0.6672989266547407,1.3094232880996246,1.3476741270542345,1.3391032888027903
1974,17.304418742586,15.510778278935486,13.617377196824405,6744000,4499271.2,0.6671517200474496,1.2950152298895863,1.3309136643396784,1.3227676135807482
1975,17.113938053097346,15.317229046202831,13.4507319755382,6780000,4522450,0.6670280235988201,1.280760177607442,1.3143060309937629,1.3065799954741724
1976,16.925469483568076,15.125452683826857,13.28560235702008,6816000,4545777.6,0.6669274647887323,1.2666557068634894,1.2978505200842831,1.2905396003039737
1977,16.738981319322825,14.935440774358353,13.121979673559526,6852000,4569254,0.6668496789258611,1.2526994442184225,1.2815464093458593,1.2746455861042887
1978,16.5544425087108,14.747184728916885,12.959855181563675,6888000,4592879.2,0.6667943089430894,1.2388890658518752,1.265392961803329,1.258897103538178
1979,16.37182264586944,14.56067579431784,12.799220065743347,6924000,4616653.2,0.6667610051993068,1.2252222962725021,1.2493894263832908,1.243293296304251
1980,16.191091954022987,14.37590506006151,12.640065443206488,6960000,4640576,0.6667494252873564,1.2116969070680879,1.2335350385138057,1.2278333015342948
1981,15.943991416309013,14.125939515833279,12.419121295315406,6990000,4662774,0.6670635193133048,1.1932045806621168,1.2120865623351953,1.2063711830208506
1982,15.699002849002849,13.878493522016607,12.200496259850425,7020000,4685100,0.6673931623931624,1.1748703083279917,1.1908542780207474,1.1851343389317803
1983,15.456099290780141,13.633551415448448,11.98417178047224,7050000,4707554,0.6677381560283688,1.1566920723541567,1.1698368415813116,1.1641209667375438
1984,15.215254237288134,13.391097422991642,11.770129343331403,7080000,4730136,0.6680983050847458,1.138667889227558,1.149032899591328,1.1433292680359892
1985,14.976441631504924,13.151115668380587,11.558350480253216,7110000,4752846,0.668473417721519,1.1207958089121541,1.1284410897762254,1.1227574488617282
1986,14.739635854341737,12.913590178914685,11.348816771815496,7140000,4775684,0.6688633053221289,1.103073914145619,1.1080600415867572,1.1024037199851042
1987,14.504811715481171,12.678504892000877,11.141509850321409,7170000,4798650,0.6692677824267782,1.0855003197536992,1.0878883767603889,1.0822662972009682
1988,14.271944444444443,12.445843661546526,10.936411402669448,7200000,4821744,0.6696866666666667,1.0680731719817123,1.0679247098698432,1.0623434016074638
1989,14.041009681881052,12.215590264204126,10.733503173122648,7230000,4844966,0.6701197786998617,1.0507906478426878,1.0481676488589327,1.042633259875023
1990,13.81198347107438,11.98772840546916,10.532766965979155,7260000,4868316,0.6705669421487603,1.0336509544816719,1.0286157955657904,1.0231341045057813
1991,13.670944276695032,11.855796402118726,10.419075021805417,7286000,4881272.8,0.6699523469667856,1.0230959680675302,1.017295273612275,1.0120902728262768
1992,13.530908096280088,11.724600394579195,10.306015753552343,7312000,4894328,0.669355579868709,1.0126160444670558,1.0060379043171246,1.0011078981517192
1993,13.39186426819297,11.594142400859946,10.193589812153999,7338000,4907481.6,0.6687764513491414,1.002210385792614,0.9948438608371089,0.9901870437126765
1994,13.25380228136882,11.464424328925265,10.081797783041587,7364000,4920733.6,0.6682147745790331,0.9918782054249438,0.9837133068864974,0.9793277663768869
1995,13.116711772665765,11.335447977780678,9.970640186854398,7390000,4934084,0.6676703653585927,0.9816187278149355,0.972646396830274,0.9685301167183176
1996,12.980582524271844,11.20721503857438,9.860117480155356,7416000,4947532.8,0.6671430420711973,0.9714311882895712,0.9616432757786453,0.9577941390866728
1997,12.845404461166352,11.07972709571303,9.75023005615083,7442000,4961080,0.6666326256382693,0.9613148328619385,0.9507040796827823,0.9471198716773144
1998,12.711167648634172,10.95298562799122,9.640978245414477,7468000,4974725.600000001,0.6661389394750938,0.9512689180452107,0.9398289354317356,0.936507346601575
1999,12.577862289831865,10.826992009733807,9.532362316614703,7494000,4988469.600000001,0.6656618094475582,0.9412927106704992,0.9290179609504541,0.9259565899574219
